"No.","Time","Source","Destination","Protocol","Length","Info"
"22","2024/048 13:12:40.149492","192.168.4.30","192.168.4.135","TCP","60","60395  >  22 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"23","2024/048 13:12:40.149571","192.168.4.135","192.168.4.30","TCP","54","22  >  60395 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
