"No.","Time","Source","Destination","Protocol","Length","Info"
"13","2024/048 13:14:31.238954","192.168.4.30","192.168.4.135","TCP","60","44014  >  3389 [FIN] Seq=1 Win=1024 Len=0"
"14","2024/048 13:14:31.239005","192.168.4.135","192.168.4.30","TCP","54","3389  >  44014 [RST, ACK] Seq=1 Ack=2 Win=0 Len=0"
