ip.dst,ip.src,tcp.dstport,tcp.srcport,tcp.window_size_value,tcp.flags
192.168.4.76,192.168.4.133,11967,51063,1024,0x0002
192.168.4.77,192.168.4.133,9917,51063,1024,0x0002
192.168.4.78,192.168.4.133,8022,51063,1024,0x0002
192.168.4.133,192.168.4.77,51063,52822,0,0x0014
192.168.4.133,192.168.4.77,51063,6510,0,0x0014
192.168.4.133,192.168.4.76,51063,9917,0,0x0014
192.168.4.133,192.168.4.113,51063,306,0,0x0014
192.168.4.133,192.168.4.76,51063,1600,0,0x0014
192.168.4.133,192.168.4.76,51063,7025,0,0x0014
192.168.4.133,192.168.4.76,51063,50006,0,0x0014
192.168.4.133,192.168.4.77,51063,6779,0,0x0014
192.168.4.133,192.168.4.77,51063,14238,0,0x0014
192.168.4.133,192.168.4.76,51063,79,0,0x0014
192.168.4.133,192.168.4.77,51063,15002,0,0x0014
192.168.4.133,192.168.4.77,51063,25734,0,0x0014
192.168.4.133,192.168.4.77,51063,32778,0,0x0014
192.168.4.133,192.168.4.76,51063,52673,0,0x0014
192.168.4.133,192.168.4.76,51063,7201,0,0x0014
192.168.4.133,192.168.4.113,51063,259,0,0x0014
192.168.4.133,192.168.4.113,51063,2909,0,0x0014
192.168.4.133,192.168.4.113,51063,81,0,0x0014
192.168.4.133,192.168.4.113,51063,32775,0,0x0014
192.168.4.133,192.168.4.113,51063,56738,0,0x0014
192.168.4.113,192.168.4.133,3659,51063,1024,0x0002
192.168.4.20,192.168.4.133,3000,51063,1024,0x0002
192.168.4.29,192.168.4.133,1045,51063,1024,0x0002
192.168.4.76,192.168.4.133,1186,51063,1024,0x0002
192.168.4.77,192.168.4.133,52673,51063,1024,0x0002
192.168.4.78,192.168.4.133,1010,51063,1024,0x0002
192.168.4.113,192.168.4.133,2522,51063,1024,0x0002
192.168.4.20,192.168.4.133,1244,51063,1024,0x0002
192.168.4.29,192.168.4.133,306,51063,1024,0x0002
192.168.4.76,192.168.4.133,20031,51063,1024,0x0002
192.168.4.77,192.168.4.133,1600,51063,1024,0x0002
192.168.4.78,192.168.4.133,1301,51063,1024,0x0002
192.168.4.113,192.168.4.133,6839,51063,1024,0x0002
192.168.4.20,192.168.4.133,3476,51063,1024,0x0002
192.168.4.29,192.168.4.133,81,51063,1024,0x0002
192.168.4.76,192.168.4.133,8994,51063,1024,0x0002
192.168.4.77,192.168.4.133,7201,51063,1024,0x0002
192.168.4.78,192.168.4.133,5903,51063,1024,0x0002
192.168.4.113,192.168.4.133,55055,51063,1024,0x0002
192.168.4.133,192.168.4.78,51063,4003,0,0x0014
192.168.4.20,192.168.4.133,3011,51063,1024,0x0002
192.168.4.133,192.168.4.78,51063,49153,0,0x0014
192.168.4.133,192.168.4.78,51063,9103,0,0x0014
192.168.4.133,192.168.4.78,51063,15002,0,0x0014
192.168.4.29,192.168.4.133,2909,51063,1024,0x0002
192.168.4.133,192.168.4.78,51063,9917,0,0x0014
192.168.4.133,192.168.4.78,51063,990,0,0x0014
192.168.4.133,192.168.4.78,51063,25734,0,0x0014
